predicted_labels	true_labels	lil_interpretations	gil_interpretations
1	1	[('the lur id topic', -0.1308978796005249), ('of the chilly production', -0.19682109355926514), ('the chilly production', -0.30801093578338623), ('of the piece', -0.32164520025253296), ('un er ring', -0.3760543465614319)]	['worldly-wise and very funny script', 'four star performance']
0	0	"[(""all ' s"", -0.2774144411087036), ('over size', -0.3016928434371948), ('the thr ills', -0.3269248604774475), ('worthy environmental ism', -0.3793071508407593), ('am iable', -0.5101669430732727)]"	['astoundingly', 'ugly and destructive']
1	1	[('as visually dexter ous', -0.1652313470840454), ('imagin atively overwhelming', -0.35048019886016846), ('as a photograph', -0.36007606983184814), ('as a dream', -0.3888416886329651), ('atively overwhelming', -0.5157510936260223)]	['astoundingly', 'thought-provoking film']
1	1	[('is warm ly affecting', -0.27985697984695435), ('ad roit ly minimalist', -0.29377269744873047), ('warm ly affecting', -0.39105725288391113), ('pic col i', -0.5169224143028259), ('the studio', -0.5682989656925201)]	['a funny and touching film that is gorgeously', 'worldly-wise and very funny script']
1	1	[('play fulness and excitement', -0.16098594665527344), ('from the cast', -0.29658806324005127), ('that seems appropriate', -0.3560073971748352), ('the cast', -0.44302862882614136), ('a sense', -0.48766380548477173)]	['four star performance', 'astoundingly']
1	1	[('the human complexities beneath', -0.15066635608673096), ('our precon ceived vision', -0.2472861409187317), ('the human complexities', -0.30703043937683105), ('the holy land', -0.3767010569572449), ('precon ceived', -0.5178584158420563)]	['astoundingly', 'astoundingly rich film']
1	1	[('of the grim situation', -0.15297532081604004), ('the grim situation', -0.2546437978744507), ('the reality', -0.3636550307273865), ('e lling', -0.541220098733902)]	['astoundingly', 'thought-provoking film']
1	1	[]	['show-stoppingly', 'four star performance']
0	0	[('describes its main characters', -0.02433323860168457), ('the lazy people', -0.08244538307189941), ('its main characters', -0.11080342531204224), ('not only', -0.1292659044265747), ('behind the camera', -0.1426669955253601)]	['ugly and destructive', 'astoundingly']
0	0	[('weight less intellectual entertainment', -0.034042537212371826), ('less intellectual entertainment', -0.07384413480758667), ('of pretty', -0.1740918755531311)]	['astoundingly', 'ugly and mindless']
0	0	[('cl ic hes', -0.056535303592681885), ('positively decad ent', -0.06022876501083374), ('absurd ities', -0.18357497453689575)]	['astoundingly', 'ugly and destructive']
1	1	[('for the most part', -0.3499201536178589), ('the most part', -0.44643324613571167)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
1	1	[('at his best', -0.25466638803482056), ('of east wood', -0.4045222997665405), ('his best', -0.41048663854599), ('the virtues', -0.5034647583961487), ('east wood', -0.5507255792617798)]	['four star performance', 'worldly-wise and very funny script']
0	0	[('out of her depth', -0.03476947546005249), ('lifetime - channel', -0.06758177280426025), ('a lead actress', -0.10085147619247437), ('of her depth', -0.1024399995803833), ('of plot', -0.1943063735961914)]	['astoundingly', 'ugly and destructive']
0	0	[('some fancy special effects', 0.06882822513580322), ('at an egg timer', 0.06768536567687988), ('after - school', 0.04009556770324707), ('an egg timer', 0.0036057233810424805), ('for 93 minutes', -0.03961557149887085)]	['worldly-wise and very funny script', 'let-down']
1	1	[('extraordinarily well - acted', -0.21704912185668945), ('the most part', -0.4059023857116699)]	['four star performance', 'worldly-wise and very funny script']
1	1	[('in his medium', -0.41283154487609863), ('his medium', -0.4898543059825897), ('a very original artist', -0.6048811078071594), ('very original', -0.6459877192974091), ('is it there', -0.6582443118095398)]	['astoundingly', 'worldly-wise and very funny script']
1	1	[('an engaging look', -0.3468077778816223), ('fiercely athe istic', -0.37209296226501465), ('ep onymous', -0.4956126809120178)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
0	0	[('like thoughtful treat ises', -0.0056912899017333984), ('thoughtful treat ises', -0.03805822134017944), ('of intellig ible story', -0.05526012182235718), ('x xx', -0.15649521350860596), ('intellig ible story', -0.1583755612373352)]	['ugly and mindless', 'ugly and destructive']
0	0	[('to actually engage it', -0.042522430419921875), ('too much fun', -0.04520481824874878), ('a cinematic gymn', -0.049269139766693115), ('too much', -0.1375260353088379), ('engage it', -0.24393808841705322)]	['astoundingly', 'preposterousness']
0	0	[('a far better title', -0.018790781497955322), ('far better', -0.16459286212921143)]	['astoundingly', 'ugly and destructive']
0	0	[('than scratch the surface', -0.04075443744659424), ('scratch the surface', -0.10717713832855225), ('ingly superficial', -0.18512314558029175), ('a movie', -0.19037944078445435), ('the surface', -0.25607413053512573)]	['astoundingly', 'ugly and mindless']
1	1	[('together they are magnificent', -0.442362904548645), ('two mis fits', -0.5722749829292297), ('stand a chance alone', -0.6389294564723969), ('are magnificent', -0.6690658628940582), ('a chance', -0.7078480422496796)]	['astoundingly', 'show-stoppingly']
0	0	[('middle - aged', -0.09703147411346436), ('persist ently useless', -0.11211967468261719), ('the resusc itation', -0.11900067329406738), ('some hook', -0.14537394046783447), ('on which', -0.21709400415420532)]	['astoundingly', 'preposterousness']
1	1	[('the vast collective memory', -0.3292127251625061), ('of this film', -0.38971376419067383), ('this film', -0.47292962670326233), ('of the combatants', -0.4941655695438385), ('the combatants', -0.5393373370170593)]	['astoundingly', 'show-stoppingly']
1	1	[('in the right direction', -0.25609928369522095), ('the right direction', -0.3511645197868347), ('this tricky topic', -0.367401123046875), ('frank ness', -0.452875018119812), ('its blend', -0.45841848850250244)]	['four star performance', 'show-stoppingly']
0	0	[('foot - dr agging', 0.321874737739563), ('foot - dr', 0.27110910415649414), ('dist ended', 0.1073993444442749), ('kicks in', 0.09188097715377808), ('the script', 0.04106348752975464)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('full - length', -0.08352869749069214), ('rather than', -0.12598073482513428)]	['astoundingly', 'played-out']
1	1	[('right here', -0.6488505899906158)]	['stuffiest cinema goers', 'bang-up']
1	1	[]	['four star performance', 'worldly-wise and very funny script']
1	1	[('is back', -0.5963563323020935)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('horror movie fan atics', 0.26492637395858765), ('one to skip', 0.18794137239456177), ('horror movie', 0.1509605050086975), ('to skip', 0.12706708908081055)]	['astoundingly', 'stuffiest cinema goers']
0	0	[('third - act', -0.192532479763031), ('of emotional steam', -0.2882688641548157), ('a head', -0.29494500160217285), ('over bearing', -0.2977144718170166), ('emotional steam', -0.39007705450057983)]	['astoundingly', 'ugly and mindless']
1	1	[('chilling but quite human', -0.21199828386306763), ('this chamber drama', -0.39256584644317627), ('quite human', -0.5201941430568695), ('deeply appealing', -0.5746431648731232), ('superb ly', -0.6018531024456024)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
1	1	[('surprising po ign ance', -0.10001736879348755)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('the others', -0.5106994807720184), ('bl air witch', -0.6025113761425018)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[]	['astoundingly', 'preposterousness']
1	1	[('of al ient ation', -0.3095588684082031), ('al ient ation', -0.4341920018196106), ('most intriguing', -0.5391454994678497)]	['insightful and', 'astoundingly']
0	0	[('of its parts', -0.10688966512680054), ('its parts', -0.21784907579421997), ('the sum', -0.2455664873123169)]	['astoundingly', 'ugly and destructive']
1	1	[('of path os', -0.44506245851516724), ('of gent ility', -0.48514991998672485), ('its moments', -0.511285811662674), ('path os', -0.5762939751148224), ('gent ility', -0.5867369771003723)]	['show-stoppingly', 'a funny and touching film that is gorgeously']
1	1	[('sailors and folks', -0.4715501666069031), ('is good enough', -0.48448169231414795), ('about this film', -0.4860961437225342), ('around a submarine', -0.5174951255321503), ('this film', -0.5269244909286499)]	['four star performance', 'astoundingly']
0	0	[('an action film', -0.0944254994392395), ('down the toilet', -0.10019034147262573), ('j ames bond', -0.10080718994140625), ('by the filmmakers', -0.10793519020080566), ('of cinematic history', -0.12279421091079712)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('a solid performance', -0.3256843090057373), ('big bad love', -0.5879124104976654), ('how ard', -0.6171262860298157)]	['four star performance', 'worldly-wise and very funny script']
0	0	[('for his next project', -0.08677655458450317), ('the only way', -0.09270602464675903), ('his next project', -0.1397351622581482), ('that ski mask', -0.16460353136062622)]	['astoundingly', 'ugly and destructive']
0	0	[('killer - th rill', -0.006749153137207031), ('around group therapy sessions', -0.07579320669174194), ('group therapy sessions', -0.16405463218688965), ('group therapy', -0.252938449382782)]	['astoundingly', 'ugly and destructive']
1	1	[('to le igh', -0.5730507075786591), ('le igh', -0.6049240529537201), ('working - class', -0.6242509186267853), ('major k udos', -0.6695588231086731), ('look working - class', -0.6732246577739716)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('of official repression', -0.40206801891326904), ('this one included', -0.48546189069747925), ('aging hipp ies', -0.5445040464401245), ('official repression', -0.551721066236496), ('the face', -0.5950929224491119)]	['astoundingly', 'show-stoppingly']
1	1	[('keeping these thoughts hidden', -0.34917378425598145), ('as great an impact', -0.4387538433074951), ('these thoughts', -0.5065088868141174), ('did by showing them', -0.5818833112716675), ('by showing them', -0.6284629702568054)]	['show-stoppingly', 'astoundingly']
0	0	[('decad ent tr uffle', -0.011085808277130127), ('than dark', -0.13738155364990234), ('tr uffle', -0.14580732583999634), ('should peak', -0.31983089447021484)]	['astoundingly', 'preposterousness']
0	1	[('the privileged position', 0.13247573375701904), ('dropping on his characters', 0.12834030389785767), ('on his characters', 0.05919700860977173), ('his characters', 0.001960456371307373)]	['astoundingly', 'narcissism and']
0	1	[('go away', 0.3021816611289978), ('had a week ago', 0.25549888610839844), ('a week ago', 0.24280327558517456), ('a week', 0.18389278650283813), ('the nightmare', 0.18287694454193115)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('from start to finish', -0.35673606395721436), ('to finish', -0.4892309308052063), ('from start', -0.5566828846931458), ('my interest', -0.6139611601829529), ('a little crazy', -0.7126408219337463)]	['worldly-wise and very funny script', 'show-stoppingly']
1	1	"[('it hits its mark', -0.28030067682266235), ('hits its mark', -0.4001614451408386), (""' s brilliant"", -0.5344317257404327), ('its mark', -0.5415108501911163), ('s brilliant', -0.5966061353683472)]"	['astoundingly', 'show-stoppingly']
1	1	[('some interesting real people', -0.3775259256362915), ('a good charitable enterprise', -0.38144928216934204), ('a masterpiece', -0.714288741350174), ('hard ly', -0.8169315755367279)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
1	0	[('recognize him', -0.6620024144649506), ('ro ger', -0.7190908491611481), ('will quickly recognize him', -0.7518329918384552)]	['engrossing story', 'show-stoppingly']
0	1	[('is a glorious failure', -0.006850481033325195), ('a glorious failure', -0.0330081582069397), ('is a failure', -0.0441899299621582), ('a failure', -0.13927161693572998)]	['astoundingly', 'ugly and destructive']
1	1	[('simple mel od rama', -0.378166139125824), ('the situation', -0.4740118384361267), ('his characters', -0.48827946186065674), ('a way', -0.5131718218326569), ('inates us', -0.5591526925563812)]	['astoundingly', 'engrossing film']
1	0	[('of americ an culture', -0.22769784927368164), ('the shadow side', -0.23928481340408325), ('ugly and diverse', -0.28381508588790894), ('americ an culture', -0.41950082778930664), ('racial prejudice', -0.5212460458278656)]	['astoundingly', 'astoundingly rich film']
1	0	[('produced such a script', -0.15209820866584778), ('such a script', -0.18220165371894836), ('played a crucial role', -0.22499391436576843), ('a crucial role', -0.23611876368522644), ('spray cheese', -0.25786229968070984)]	['astoundingly', 'worldly-wise and very funny script']
1	1	[('a smooth sle ight', -0.3633151054382324), ('director sam mend es', -0.4336232542991638), ('scar - winning', -0.5269886553287506), ('of hand', -0.5584854781627655), ('from o scar winner', -0.5776031911373138)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('the movie', -0.222456157207489), ('the whole', -0.27220362424850464)]	['astoundingly', 'preposterousness']
0	0	[('these marginal historical figures', -0.07544225454330444)]	['ugly and destructive', 'astoundingly']
1	1	[('to the formula', -0.41318827867507935), ('the formula', -0.4903485178947449), ('a typical romantic lead', -0.642844170331955), ('don ovan', -0.6880190968513489)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('nothing going for it', -0.008165061473846436), ('going for it', -0.04386943578720093), ('for it', -0.1388527750968933), ('his latest', -0.2056933045387268), ('ind el ible', -0.4729006886482239)]	['astoundingly', 'preposterousness']
1	1	[('some memorable images', 0.03880453109741211), ('from the characters', -0.0011996626853942871), ('the characters', -0.09014064073562622), ('her distance', -0.19339370727539062)]	['astoundingly', 'worldly-wise and very funny script']
1	1	[('under stated and touching', -0.32342374324798584), ('stated and touching', -0.42989277839660645)]	['worldly-wise and very funny script', 'four star performance']
1	1	[('the odds against success', -0.25219690799713135), ('a dream seem possible', -0.2648024559020996), ('the wife is patient', -0.3309782147407532), ('long enough to intimidate', -0.3544479012489319), ('is sto ic', -0.4210384488105774)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
0	0	[('of a down video', -0.030190348625183105), ('a down video', -0.09565895795822144), ('the latest system', -0.10253244638442993), ('much of the time', -0.1101122498512268), ('quick - cut', -0.15917903184890747)]	['astoundingly', 'ugly and destructive']
1	1	[('the aff able cast', -0.18839478492736816), ('uncom pl icated morality', -0.3456198573112488), ('aff able', -0.4530113935470581), ('uncom pl icated', -0.48454177379608154), ('relatively simple', -0.4903305172920227)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
0	0	"[(""ca n 't do"", -0.013217031955718994), ('worth caring about', -0.1163070797920227), ('caring about', -0.19605416059494019)]"	['astoundingly', 'preposterousness']
0	0	[('in rep ug nance', -0.058531999588012695), ('rep ug nance', -0.09618735313415527), ('the viewer', -0.23359990119934082), ('to humor', -0.2907705307006836), ('so much', -0.37195175886154175)]	['astoundingly', 'ugly and destructive']
1	1	[('a place and time', -0.36170023679733276), ('happen again', -0.6252847909927368), ('will never happen again', -0.6371662616729736)]	['thought-provoking film', 'show-stoppingly']
0	0	[]	['astoundingly', 'ugly and destructive']
0	0	[('of some appealing ingredients', -0.24555331468582153), ('nearly enough', -0.3093675374984741), ('some appealing ingredients', -0.3217318058013916), ('the presence', -0.3671565651893616)]	['astoundingly', 'ugly and destructive']
0	1	[]	['astoundingly', 'ugly and destructive']
0	0	[('is m add ening', -0.026636481285095215), ('m add ening', -0.0732109546661377)]	['astoundingly', 'ugly and mindless']
1	1	[('had while watching it', -0.37739115953445435), ('while watching it', -0.43615221977233887), ('admire its conception', -0.4638952612876892), ('the conf usions', -0.512903481721878), ('its conception', -0.5154620110988617)]	['show-stoppingly', 'astoundingly']
1	0	[('easy ways out', -0.40250974893569946), ('val ed ict orian', -0.44909167289733887), ('at the school', -0.45010924339294434), ('soft land ings', -0.4971960484981537), ('the school', -0.5066477358341217)]	['astoundingly', 'worldly-wise and very funny script']
1	1	[('on singles culture', -0.4418834447860718), ('in a long time', -0.47630828619003296), ('a long time', -0.5410833656787872), ('singles culture', -0.5473713874816895)]	['four star performance', 'show-stoppingly']
1	1	[('its script is not', -0.3162715435028076), ('its characters', -0.4509628415107727), ('entirely convincing', -0.5300981998443604), ('even when', -0.5425500869750977), ('its script', -0.5452263653278351)]	['worldly-wise and very funny script', 'show-stoppingly']
0	0	[('the the new guy', 0.230002760887146), ('far more pleas urable', 0.16965872049331665), ('something else', 0.06448209285736084), ('far more', 0.05335092544555664)]	['astoundingly', 'ghastly']
0	0	[('of the bicycle thief', -0.24045860767364502), ('the tread s', -0.26519519090652466), ('the bicycle thief', -0.3382754325866699)]	['astoundingly', 'preposterousness']
1	1	[('the fascinating connections', -0.31523317098617554), ('quirky and poignant', -0.3459164500236511), ('under a red bridge', -0.3662077784538269), ('j apan ese', -0.4117966890335083), ('a red bridge', -0.5280089974403381)]	['engrossing story', 'astoundingly']
0	0	[('the film', -0.27653950452804565), ('you have done so', -0.2970026135444641), ('the art', -0.33949631452560425), ('have done so', -0.34429872035980225), ('done so', -0.3728291392326355)]	['astoundingly', 'ugly and destructive']
1	1	[('aking at its best', -0.1499050259590149), ('at its best', -0.25639480352401733), ('its best', -0.3942720293998718)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
0	1	[('something strangely diver ting', -0.15618658065795898), ('strangely diver ting', -0.22037237882614136), ('table formula', -0.2294744849205017)]	['astoundingly', 'ugly and destructive']
1	1	[('all over the stage', -0.15547049045562744), ('the w acky talent', -0.20626354217529297), ('in the first place', -0.2622449994087219), ('mo pping his face', -0.31334322690963745), ('the stage', -0.33719539642333984)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
1	1	[('with imagination and flair', -0.25040513277053833), ('imagination and flair', -0.3820778727531433), ('the fantasy cinema', -0.4569814205169678)]	['astoundingly', 'engrossing story']
0	0	[('an haw ke', -0.16282296180725098), ('even worse', -0.19199490547180176), ('behind the camera', -0.233747661113739), ('the camera', -0.25822120904922485), ('front of it', -0.37030649185180664)]	['astoundingly', 'preposterousness']
0	0	[('pays for being dishonest', -0.11545509099960327), ('passing in the night', -0.11648529767990112), ('rather than', -0.17885375022888184), ('for being dishonest', -0.19379353523254395), ('in the night', -0.2381131649017334)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('his nicely nuanced narrative', -0.16551977396011353), ('a lot of energy', -0.2987711429595947), ('nicely nuanced', -0.43791794776916504), ('of energy', -0.5273797810077667), ('a cast', -0.5364519357681274)]	['worldly-wise and very funny script', 'engrossing film']
1	1	[('amid a compelling plot', -0.2067757248878479), ('a compelling plot', -0.34214574098587036), ('smart people', -0.4773266911506653)]	['worldly-wise and very funny script', 'four star performance']
0	0	[('compelling or comprehens ible', -0.07810229063034058), ('comprehens ible', -0.23283225297927856)]	['astoundingly', 'let-down']
0	0	[('killers from space', -0.01756960153579712), ('far less funny', -0.027524232864379883), ('this clever idea', -0.0522763729095459), ('from space', -0.07196593284606934), ('far less', -0.08817589282989502)]	['astoundingly', 'preposterousness']
1	1	[('sh ag gy too', -0.5586356222629547), ('look and sound great', -0.5705924332141876), ('you both', -0.6481822729110718)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
0	0	[('hot to take hold', -0.06260073184967041), ('to take hold', -0.15624642372131348), ('as ian hit men', -0.226726233959198), ('a sleek sociop ath', -0.2438177466392517), ('the trail of o', -0.24384576082229614)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('unfold in real time', -0.02483612298965454), ('a miserable relationship', -0.06500095129013062), ('in real time', -0.07547640800476074), ('inter min ably', -0.07840168476104736), ('real time', -0.21068298816680908)]	['astoundingly', 'ugly and mindless']
1	0	[('his co - director', -0.21601086854934692), ('an outrageous dark satire', -0.3076127767562866), ('in their feature debut', -0.3095405697822571), ('their feature debut', -0.32509273290634155), ('its ambitions', -0.4093369245529175)]	['astoundingly', 'worldly-wise and very funny script']
0	0	[('for the small screen', -0.10170900821685791), ('the small screen', -0.18492889404296875), ('a project', -0.22167307138442993)]	['worldly-wise and very funny script', 'ugly and destructive']
0	0	[]	['astoundingly', 'ugly and destructive']
1	1	[('k uras', -0.5492894351482391), ('mill er', -0.5897749662399292)]	['engrossing story', 'a funny and touching film that is gorgeously']
1	0	[('gang ster', -0.578602060675621)]	['worldly-wise and very funny script', 'snide and prejudice']
0	0	[('than - object ive', -0.010152339935302734), ('than - object', -0.04641693830490112), ('its wealth', -0.17438948154449463)]	['astoundingly', 'ugly and destructive']
0	0	[('of z ig zag', -0.05286353826522827), ('constructed around him', -0.08390587568283081), ('z ig zag', -0.13597780466079712), ('around him', -0.1943914294242859), ('a film', -0.20029199123382568)]	['astoundingly', 'preposterousness']
1	1	[('love thy self', -0.46710920333862305), ('thy self', -0.5038632750511169), ('of any size', -0.5487071871757507), ('any size', -0.5795333683490753), ('young women', -0.625543087720871)]	['astoundingly', 'engrossing story']
1	1	[('it is truly stirring', -0.38748830556869507), ('is truly stirring', -0.4723939895629883), ('more conscientious', -0.5508460104465485)]	['astoundingly', 'worldly-wise and very funny script']
0	0	[('this lifeless boxing film', -0.018078982830047607), ('the tricks alone', -0.10754156112670898), ('learned new tricks', -0.13676893711090088), ('the tricks', -0.2511981129646301), ('new tricks', -0.25550949573516846)]	['astoundingly', 'preposterousness']
0	0	[('sc ott ish', -0.03401529788970947), ('his heart', -0.11561375856399536), ('the work', -0.1377929449081421), ('in it', -0.1454870104789734)]	['astoundingly', 'ugly and destructive']
1	1	[('deep and psychological', -0.3354905843734741), ('at her abusers', -0.5464470088481903), ('if not', -0.5963536500930786), ('her abusers', -0.6118571162223816)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('a little too much', 0.07364869117736816), ('into his first film', -0.02493453025817871), ('enough for his second', -0.04426991939544678), ('for his second', -0.10087311267852783), ('his first film', -0.1564699411392212)]	['astoundingly', 'worldly-wise and very funny script']
0	0	[('too familiar', -0.17502158880233765), ('of early underground work', -0.2225847840309143), ('early underground work', -0.2970530390739441), ('trans gressive', -0.3318853974342346)]	['astoundingly', 'ugly and destructive']
1	1	[('its rhythms and resonance', -0.23722565174102783), ('of female friendship', -0.34444940090179443), ('female friendship', -0.460449755191803), ('the subject', -0.5282797515392303), ('unh ur ried', -0.5696147978305817)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
1	1	[('s trying to do', -0.24879515171051025), ('trying to do', -0.3463534712791443), ('to do', -0.4713195562362671)]	['four star performance', 'worldly-wise and very funny script']
1	1	[('its divers ions', -0.3426055312156677), ('uncom pl icated', -0.42203712463378906)]	['worldly-wise and very funny script', 'show-stoppingly']
1	1	[('do most films', -0.27803701162338257), ('most films', -0.39127516746520996), ('far more', -0.46174925565719604)]	['four star performance', 'astoundingly']
0	0	[('as a consequence', -0.07605969905853271), ('almost laughable', -0.17279088497161865), ('a consequence', -0.18991011381149292)]	['astoundingly', 'ugly and mindless']
1	1	[('mid life', -0.6974995732307434)]	['worldly-wise and very funny script', 'four star performance']
