predicted_labels	true_labels	lil_interpretations	gil_interpretations
1	1	[('d aniel rad cliffe', -0.19943803548812866), ('of wizard ry', -0.21880561113357544), ('hog warts school', -0.22604471445083618), ('wizard ry', -0.25028693675994873), ('hog warts', -0.2710421085357666)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	[('beats him up', -0.19379723072052002), ('a gang ster', -0.20434528589248657), ('not far from graduation', -0.20986127853393555), ('from his school', -0.21305519342422485), ('his school', -0.2799842357635498)]	['a sharp , amusing study of the cult of celebrity', 'dead bodies are being found in the new york harbor']
0	1	[('for an anthology film', -0.10366445779800415), ('an anthology film', -0.20139175653457642), ('30 minute', -0.304870069026947), ('full length', -0.31343895196914673), ('imp ost', -0.3732147812843323)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('too much time', -0.2433510422706604), ('has passed', -0.29751360416412354), ('too much', -0.30822843313217163), ('the angel', -0.3395393490791321), ('the girl', -0.3586467504501343)]	['dead bodies are being found in the new york harbor', 'a sharp , amusing study of the cult of celebrity']
1	1	[('before the burning bush', -0.36153239011764526), ('hall owed', -0.3790316581726074), ('the burning bush', -0.38105303049087524), ('e gypt', -0.3821186423301697), ('the barren deserts', -0.4144909977912903)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	[('the play', -0.35937297344207764), ('they wrote', -0.38162946701049805), ('the play they wrote', -0.3854677677154541), ('lar am ie', -0.42035847902297974), ('more than 200', -0.44264018535614014)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	"[(""nick 's idea"", -0.24116086959838867), (""tim 's own envy"", -0.2521975636482239), ('equally outrageous proportions', -0.2766687870025635), (""nick 's fortune"", -0.28131765127182007), ('to equally outrageous proportions', -0.28374016284942627)]"	"[""the feds are now determined to bring kilo's operation down"", 'the ultimate hell is about to be raised on earth']"
1	1	[('his own living hell', -0.24558943510055542), ('new jersey', -0.30361902713775635), ('in new jersey', -0.31836044788360596), ('3 , 000 miles', -0.33641260862350464), (', 000', -0.3410046100616455)]	['this movie praise the right to be different and unique', 'dead bodies are being found in the new york harbor']
1	1	"[(""she 's lucky"", -0.2304244041442871), ('along the way', -0.2615901231765747), (""'s lucky"", -0.290594220161438), ('the way', -0.305894672870636)]"	"[""the feds are now determined to bring kilo's operation down"", 'this movie praise the right to be different and unique']"
1	1	"[('the world war ii', -0.21484458446502686), (""one family 's experience"", -0.2512889504432678), ('of baseball', -0.2858949303627014), ('all - amer', -0.3067205548286438), (""one family 's"", -0.34326857328414917)]"	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	"[('seen to the police', -0.1266729235649109), (""en 's mother"", -0.2116948366165161), ('to the police', -0.2425045371055603), ('to himself', -0.2757011651992798), ('the police', -0.3016793131828308)]"	['a sharp , amusing study of the cult of celebrity', 'dead bodies are being found in the new york harbor']
1	1	"[(""tal is ac 's"", -0.0211184024810791), ('the - me ister', -0.024253666400909424), ('an inhuman blood lust', -0.03083866834640503), ('a slain senator', -0.04391586780548096), ('m ong roid', -0.04554867744445801)]"	"['one day , lilja falls in love with andrej', 'the best part about "" gangs "" was daniel day-lewis']"
1	1	[('started smoking in 1936', -0.21403062343597412), ('smoking in 1936', -0.2600865960121155), ('on the sofa', -0.3167082667350769), ('the sofa', -0.3644620180130005), ('in 1936', -0.3660884499549866)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
